repo,sha,author,date,message,url
davisbradleyj/my-class-repo,793de8601a8bff723c4608daee49b7810bd01713,dependabot[bot],2025-09-11T15:13:18.000Z,Bump tar and node-sass,https://github.com/davisbradleyj/my-class-repo/commit/793de8601a8bff723c4608daee49b7810bd01713
shubhamshetezoro/fsl-devops-challenge,5beb5dabab77e055c7412a846c82583dc078366d,shubhamshetezoro,2025-10-21T23:56:33.000+05:30,Fix CI: Replace node-sass with sass before npm install,https://github.com/shubhamshetezoro/fsl-devops-challenge/commit/5beb5dabab77e055c7412a846c82583dc078366d
davisbradleyj/my-class-repo,dbe04a4c0e4f1b353994a5c778cd6397f4c281c0,dependabot[bot],2025-09-11T14:25:50.000Z,Bump tar and node-sass,https://github.com/davisbradleyj/my-class-repo/commit/dbe04a4c0e4f1b353994a5c778cd6397f4c281c0
davisbradleyj/my-class-repo,c36cd74e7cf8e8ceca0488e11e5c9e6b67690b75,dependabot[bot],2025-09-11T14:25:25.000Z,Bump cross-spawn and node-sass,https://github.com/davisbradleyj/my-class-repo/commit/c36cd74e7cf8e8ceca0488e11e5c9e6b67690b75
davisbradleyj/my-class-repo,b0902731f374a629bc7ec65d8895921f04cca9b1,dependabot[bot],2025-09-11T14:25:20.000Z,Bump semver and node-sass,https://github.com/davisbradleyj/my-class-repo/commit/b0902731f374a629bc7ec65d8895921f04cca9b1
davisbradleyj/my-class-repo,d65223922bc3af4fcea9e5a3fb6d3be2a272f97f,dependabot[bot],2025-09-10T22:54:58.000Z,Bump cross-spawn and node-sass,https://github.com/davisbradleyj/my-class-repo/commit/d65223922bc3af4fcea9e5a3fb6d3be2a272f97f
davisbradleyj/my-class-repo,d2bee7d4adf5c522a45ae8de378c82a640d8d6b7,dependabot[bot],2025-09-10T22:55:00.000Z,Bump tar and node-sass,https://github.com/davisbradleyj/my-class-repo/commit/d2bee7d4adf5c522a45ae8de378c82a640d8d6b7
davisbradleyj/my-class-repo,ecfa9d909034d3b99f307027701fdfdc62b783b8,dependabot[bot],2025-09-10T22:54:51.000Z,Bump semver and node-sass,https://github.com/davisbradleyj/my-class-repo/commit/ecfa9d909034d3b99f307027701fdfdc62b783b8
cruffing0528/Assignment-5,07ac69f4d2b73d33def0b48b7638abf5efc5e303,cruffing0528,2025-09-26T22:32:52.000-07:00,Delete beginning/node-sass-install.log,https://github.com/cruffing0528/Assignment-5/commit/07ac69f4d2b73d33def0b48b7638abf5efc5e303
uiewop/TRLweb,3e4f9d628625840d19fd09be737cd8ddad94ece4,uiewop,2025-09-27T22:33:30.000+12:00,Replace node-sass with sass dependency,https://github.com/uiewop/TRLweb/commit/3e4f9d628625840d19fd09be737cd8ddad94ece4
HenrikBengtsson/jottr.org,faa0198f4be87ad33cbdeffd35027914194b70c4,dependabot[bot],2025-08-07T10:59:21.000Z,Bump form-data and node-sass in /themes/hugo-tranquilpeak-theme,https://github.com/HenrikBengtsson/jottr.org/commit/faa0198f4be87ad33cbdeffd35027914194b70c4
noyama-duo/homebrew-core,2d2103a8171ce79cfb03b309f7354427d5d710aa,BrewTestBot,2025-08-05T23:46:45.000Z,Merge pull request #232483 from Homebrew/bump-node-sass-1.90.0,https://github.com/noyama-duo/homebrew-core/commit/2d2103a8171ce79cfb03b309f7354427d5d710aa
JustDottie/pokedex-react,bded7f1be5b5a7fa69cd5ae8ad7dc0f438923474,Dot,2025-09-14T00:28:46.000+02:00,Merge pull request #2 from JustDottie/dependabot/npm_and_yarn/node-sass-7.0.0,https://github.com/JustDottie/pokedex-react/commit/bded7f1be5b5a7fa69cd5ae8ad7dc0f438923474
Lysini/crm-front,3c7fd2e5ef913a59dd688174345fa3406bee30e3,Kuba,2025-09-10T21:57:38.000+02:00,Merge pull request #3 from Lysini/dependabot/npm_and_yarn/node-sass-7.0.0,https://github.com/Lysini/crm-front/commit/3c7fd2e5ef913a59dd688174345fa3406bee30e3
