repo,sha,author,date,message,url,stars,contributors,description,total_commits
AkberIqbal/meret,fa86252610966ef8d8268b1101da5386e7e11bfc,dependabot[bot],2022-02-10T21:06:53.000Z,Bump node-sass from 4.13.1 to 7.0.0,https://github.com/AkberIqbal/meret/commit/fa86252610966ef8d8268b1101da5386e7e11bfc,,,,
denblackstache/cades-kit,32fc3d9526505a95a2ce7c50c66bac2300eb8bfd,dependabot[bot],2025-09-28T18:58:51.000Z,Bump form-data and node-sass in /examples/script,https://github.com/denblackstache/cades-kit/commit/32fc3d9526505a95a2ce7c50c66bac2300eb8bfd,,,,
moetezch/moetez.me,e9037386d2eefb527cf603d9c3c2be68a74154a6,dependabot[bot],2022-02-10T16:11:05.000Z,build(deps): bump node-sass from 4.13.0 to 7.0.0,https://github.com/moetezch/moetez.me/commit/e9037386d2eefb527cf603d9c3c2be68a74154a6,,,,
carnalito80/clubpig,29a829987fbd1b87b03b4142d1cbd69cb12d4470,kungjk,2025-10-21T10:37:27.000+02:00,node sass > sass,https://github.com/carnalito80/clubpig/commit/29a829987fbd1b87b03b4142d1cbd69cb12d4470,,,,
ToxicNinja12/trillo,4ae96a3c89c0047286b7564819fc7c4d9c9d1489,ToxicNinja12,2025-10-17T19:06:17.000+05:30,Update dev dependencies and add build process test,https://github.com/ToxicNinja12/trillo/commit/4ae96a3c89c0047286b7564819fc7c4d9c9d1489,,,,
jrcichra/rpi-ip-webcam,e19b7aef05c9eb14266b19b8363e09d9a632a243,Justin Cichra,2025-09-27T16:42:18.000-04:00,Merge pull request #12 from jrcichra/renovate/npm-node-sass-vulnerability,https://github.com/jrcichra/rpi-ip-webcam/commit/e19b7aef05c9eb14266b19b8363e09d9a632a243,,,,
noyama-duo/homebrew-core,7f44f4875eb71b9999cc2e818d164e32babfd465,BrewTestBot,2025-09-20T02:19:35.000Z,Merge pull request #245034 from Homebrew/node-sass-1.93.0,https://github.com/noyama-duo/homebrew-core/commit/7f44f4875eb71b9999cc2e818d164e32babfd465,,,,
PaystackHQ/nigerialogos,5f3de87b515666c4f6469a4c1a2e489eb80834f9,dependabot[bot],2025-09-10T17:33:21.000Z,Bump request and node-sass,https://github.com/PaystackHQ/nigerialogos/commit/5f3de87b515666c4f6469a4c1a2e489eb80834f9,,,,
noyama-duo/homebrew-core,fab9251b3ba05fdad124acf5725d0f96a9c97d19,BrewTestBot,2025-09-23T23:46:48.000Z,Merge pull request #245455 from Homebrew/bump-node-sass-1.93.2,https://github.com/noyama-duo/homebrew-core/commit/fab9251b3ba05fdad124acf5725d0f96a9c97d19,,,,
noyama-duo/homebrew-core,08dd24c3b825cd2ff9a582b693a8d375b1fcf7e0,BrewTestBot,2025-09-22T23:50:37.000Z,Merge pull request #245320 from Homebrew/bump-node-sass-1.93.1,https://github.com/noyama-duo/homebrew-core/commit/08dd24c3b825cd2ff9a582b693a8d375b1fcf7e0,,,,
zdawz/zach-and-haley-2021,4a5aca28c234785a8505ea07e32274cce615c3c7,dependabot[bot],2025-09-13T13:17:17.000Z,Bump form-data and node-sass,https://github.com/zdawz/zach-and-haley-2021/commit/4a5aca28c234785a8505ea07e32274cce615c3c7,,,,
wppconnect-team/wppconnect-manager,5e20ba0309fe1cd351204f53772ae3cd77c9e47e,Renato Santos,2025-09-29T22:58:43.000-03:00,Merge pull request #4 from wppconnect-team/renovate/npm-node-sass-vulnerability,https://github.com/wppconnect-team/wppconnect-manager/commit/5e20ba0309fe1cd351204f53772ae3cd77c9e47e,,,,
